
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 
 394 	 0.749163 	 0.346515 
 395 	 0.715305 	 0.360535 
 396 	 0.682242 	 0.376336 
 397 	 0.650043 	 0.393832 
 398 	 0.618791 	 0.412968 
 399 	 0.588574 	 0.433700 
 400 	 0.559487 	 0.455990 
 401 	 0.531635 	 0.479804 
 402 	 0.505068 	 0.505045 
 403 	 0.479851 	 0.531634 
 404 	 0.456042 	 0.559490 
 405 	 0.433715 	 0.588549 
 406 	 0.412958 	 0.618748 
 407 	 0.393832 	 0.650007 
 408 	 0.376354 	 0.682215 
 409 	 0.360565 	 0.715285 
 410 	 0.346518 	 0.749131 
 411 	 0.334277 	 0.783671 
 412 	 0.323910 	 0.818819 
 413 	 0.315426 	 0.854469 
 414 	 0.308802 	 0.890511 
 415 	 0.304024 	 0.926843 
 416 	 0.301088 	 0.963371 
 417 	 2.301063 	 0.036629 
 418 	 2.303967 	 0.073158 
 419 	 2.308705 	 0.109495 
 420 	 2.315367 	 0.145529 
 421 	 2.323879 	 0.181171 
 422 	 2.334261 	 0.216314 
 423 	 2.346561 	 0.250833 
 424 	 2.360604 	 0.284680 
 425 	 2.376344 	 0.317772 
 426 	 2.393827 	 0.349976 
 427 	 2.412948 	 0.381237 
 428 	 2.433687 	 0.411448 
 429 	 2.456052 	 0.440476 
 430 	 2.479866 	 0.468328 
 431 	 2.505061 	 0.494936 
 432 	 2.531641 	 0.520162 
 433 	 2.559485 	 0.543984 
 434 	 2.588545 	 0.566308 
 435 	 2.618786 	 0.587004 
 436 	 2.650041 	 0.606134 
 437 	 2.682226 	 0.623654 
 438 	 2.715299 	 0.639432 
 439 	 2.749142 	 0.653484 
 440 	 2.783678 	 0.665736 
 441 	 2.818834 	 0.676076 
 442 	 2.854470 	 0.684611 
 443 	 2.890493 	 0.691329 
 444 	 2.926824 	 0.696115 
 445 	 2.963354 	 0.699021 
 446 	 2.999985 	 0.700000 
 447 	 3.036615 	 0.698968 
 448 	 3.073144 	 0.696072 
 449 	 3.109481 	 0.691329 
 450 	 3.145512 	 0.684654 
 451 	 3.181152 	 0.676131 
 452 	 3.216294 	 0.665745 
 453 	 3.250813 	 0.653448 
 454 	 3.284662 	 0.639409 
 455 	 3.317755 	 0.623671 
 456 	 3.349960 	 0.606188 
 457 	 3.381221 	 0.587068 
 458 	 3.411430 	 0.566326 
 459 	 3.440456 	 0.543958 
 460 	 3.468305 	 0.520142 
 461 	 3.494912 	 0.494945 
 462 	 3.520139 	 0.468367 
 463 	 3.543965 	 0.440525 
 464 	 3.566296 	 0.411471 
 465 	 3.587002 	 0.381237 
 466 	 3.606140 	 0.349987 
 467 	 3.623666 	 0.317806 
 468 	 3.639445 	 0.284732 
 469 	 3.653491 	 0.250887 
 470 	 3.665728 	 0.216346 
 471 	 3.676021 	 0.181177 
 472 	 3.684480 	 0.145522 
 473 	 3.691127 	 0.109485 
 474 	 3.695885 	 0.073151 
 475 	 3.698846 	 0.036626 
 476 	 1.093074 	 0.275281 
 477 	 1.077020 	 0.242549 
 478 	 1.062308 	 0.210688 
 479 	 1.051471 	 0.177267 
 480 	 1.040282 	 0.140711 
 481 	 1.025177 	 0.103928 
 482 	 1.008946 	 0.068600 
 483 	 0.992031 	 0.034090 
 484 	 1.020459 	 0.269516 
 485 	 1.004604 	 0.236461 
 486 	 0.989479 	 0.201269 
 487 	 0.977814 	 0.165410 
 488 	 0.966223 	 0.132036 
 489 	 0.950561 	 0.100055 
 490 	 0.933236 	 0.067146 
 491 	 0.915175 	 0.033663 
 492 	 0.266574 	 0.950693 
 493 	 0.232723 	 0.931351 
 494 	 0.198905 	 0.911504 
 495 	 0.164282 	 0.892323 
 496 	 0.129515 	 0.877525 
 497 	 0.097251 	 0.863742 
 498 	 0.066146 	 0.846308 
 499 	 0.033610 	 0.827264 
 500 	 2.907973 	 0.725511 
 501 	 2.888247 	 0.756269 
 502 	 2.867448 	 0.788439 
 503 	 2.845091 	 0.822329 
 504 	 2.819100 	 0.859998 
 505 	 2.807187 	 0.900958 
 506 	 2.790641 	 0.934635 
 507 	 2.772083 	 0.967429 
 508 	 2.810433 	 0.966862 
 509 	 0.983304 	 0.268417 
 510 	 0.270648 	 0.910148 
 511 	 0.033253 	 0.864859 
 512 	 2.888206 	 0.965822 
 513 	 2.867538 	 0.931646 
 514 	 2.845595 	 0.897086 
 515 	 0.945447 	 0.269223 
 516 	 0.925898 	 0.235365 
 517 	 0.903526 	 0.201951 
 518 	 0.880041 	 0.169848 
 519 	 0.857423 	 0.136589 
 520 	 0.837141 	 0.101535 
 521 	 0.818736 	 0.066632 
 522 	 0.799556 	 0.033042 
 523 	 0.275241 	 0.870666 
 524 	 0.239567 	 0.850347 
 525 	 0.203601 	 0.830039 
 526 	 0.170675 	 0.806295 
 527 	 0.139864 	 0.780779 
 528 	 0.107834 	 0.755109 
 529 	 0.071913 	 0.726090 
 530 	 0.032143 	 0.711035 
 531 	 2.870895 	 0.720460 
 532 	 2.850124 	 0.751191 
 533 	 2.828007 	 0.783331 
 534 	 2.804194 	 0.816248 
 535 	 2.778753 	 0.845925 
 536 	 2.755660 	 0.873553 
 537 	 2.735648 	 0.903609 
 538 	 2.715549 	 0.935219 
 539 	 2.695157 	 0.967466 
 540 	 2.966331 	 0.965754 
 541 	 2.946186 	 0.931396 
 542 	 2.925936 	 0.896762 
 543 	 2.905620 	 0.861547 
 544 	 2.885818 	 0.825393 
 545 	 1.056952 	 0.271935 
 546 	 0.907276 	 0.272322 
 547 	 0.280306 	 0.827646 
 548 	 0.033515 	 0.902315 
 549 	 0.066036 	 0.882469 
 550 	 1.112755 	 0.245536 
 551 	 1.131906 	 0.214005 
 552 	 1.151270 	 0.179890 
 553 	 1.172102 	 0.143163 
 554 	 1.191647 	 0.105058 
 555 	 1.209421 	 0.068229 
 556 	 1.228097 	 0.033582 
 557 	 2.982095 	 0.730614 
 558 	 2.963735 	 0.762060 
 559 	 2.944829 	 0.794321 
 560 	 2.925344 	 0.827438 
 561 	 3.044182 	 0.965802 
 562 	 3.024020 	 0.931594 
 563 	 3.003921 	 0.897363 
 564 	 2.983920 	 0.863089 
 565 	 2.964123 	 0.828720 
 566 	 2.828433 	 0.932899 
 567 	 0.826726 	 0.282666 
 568 	 0.847128 	 0.243934 
 569 	 0.863993 	 0.206795 
 570 	 0.683993 	 0.031225 
 571 	 0.704256 	 0.063681 
 572 	 0.723578 	 0.100416 
 573 	 0.751461 	 0.129026 
 574 	 0.776791 	 0.153668 
 575 	 0.802643 	 0.180344 
 576 	 0.825982 	 0.211179 
 577 	 0.034381 	 0.939806 
 578 	 0.067115 	 0.919028 
 579 	 0.098655 	 0.898526 
 580 	 2.796682 	 0.705799 
 581 	 2.811788 	 0.744797 
 582 	 3.056171 	 0.729108 
 583 	 3.038751 	 0.762332 
 584 	 3.020864 	 0.795714 
 585 	 3.002533 	 0.829260 
 586 	 3.122048 	 0.965783 
 587 	 3.101763 	 0.931467 
 588 	 3.081451 	 0.897133 
 589 	 3.061110 	 0.862945 
 590 	 3.040855 	 0.829063 
 591 	 2.886086 	 0.896480 
 592 	 0.758891 	 0.312452 
 593 	 0.767501 	 0.279693 
 594 	 0.777716 	 0.248527 
 595 	 0.790244 	 0.216113 
 596 	 0.607418 	 0.030415 
 597 	 0.629289 	 0.060752 
 598 	 0.649955 	 0.090722 
 599 	 0.668897 	 0.119161 
 600 	 0.688599 	 0.144857 
 601 	 0.710797 	 0.169804 
 602 	 0.733785 	 0.195857 
 603 	 0.756386 	 0.222329 
 604 	 0.236312 	 0.890785 
 605 	 0.034752 	 0.749457 
 606 	 1.129374 	 0.279874 
 607 	 1.149605 	 0.249078 
 608 	 1.170469 	 0.216155 
 609 	 1.192814 	 0.180972 
 610 	 1.219082 	 0.141847 
 611 	 1.231121 	 0.100191 
 612 	 1.247918 	 0.065954 
 613 	 1.266718 	 0.032778 
 614 	 2.733716 	 0.967596 
 615 	 3.199879 	 0.965904 
 616 	 3.179726 	 0.931636 
 617 	 3.159805 	 0.896798 
 618 	 3.139472 	 0.861523 
 619 	 3.118347 	 0.826694 
 620 	 3.097070 	 0.792976 
 621 	 3.076315 	 0.760434 
 622 	 2.965048 	 0.897114 
 623 	 2.864552 	 0.860472 
 624 	 1.041425 	 0.239514 
 625 	 0.838059 	 0.033465 
 626 	 0.311221 	 0.758364 
 627 	 0.276657 	 0.766863 
 628 	 0.243323 	 0.777601 
 629 	 0.208484 	 0.791638 
 630 	 0.722446 	 0.032107 
 631 	 0.761040 	 0.032636 
 632 	 0.840643 	 0.173856 
 633 	 0.069416 	 0.956541 
 634 	 1.189050 	 0.034500 
 635 	 3.130116 	 0.721062 
 636 	 3.114043 	 0.757180 
 637 	 3.277580 	 0.965413 
 638 	 3.256704 	 0.931319 
 639 	 3.236435 	 0.898468 
 640 	 3.219232 	 0.864226 
 641 	 3.203879 	 0.821785 
 642 	 3.175501 	 0.785439 
 643 	 3.151958 	 0.752360 
 644 	 3.042644 	 0.897313 
 645 	 2.944999 	 0.862445 
 646 	 0.876662 	 0.033652 
 647 	 0.725236 	 0.324092 
 648 	 0.735168 	 0.289121 
 649 	 0.745366 	 0.255478 
 650 	 0.177605 	 0.768066 
 651 	 0.146710 	 0.742754 
 652 	 0.115387 	 0.715861 
 653 	 0.087070 	 0.687582 
 654 	 0.060374 	 0.661770 
 655 	 0.031040 	 0.638813 
 656 	 0.767260 	 0.188435 
 657 	 0.100339 	 0.934470 
 658 	 0.131393 	 0.913894 
 659 	 0.036050 	 0.976314 
 660 	 1.096166 	 0.213313 
 661 	 1.030826 	 0.034644 
 662 	 2.926044 	 0.759847 
 663 	 3.001255 	 0.762832 
 664 	 3.728339 	 0.089962 
 665 	 3.761498 	 0.110151 
 666 	 3.797745 	 0.133938 
 667 	 3.837152 	 0.144019 
 668 	 3.869737 	 0.158590 
 669 	 3.901971 	 0.175149 
 670 	 3.934498 	 0.192886 
 671 	 3.967229 	 0.211474 
 672 	 3.100022 	 0.862248 
 673 	 3.022497 	 0.863172 
 674 	 2.849102 	 0.966205 
 675 	 0.857042 	 0.067337 
 676 	 0.791790 	 0.300765 
 677 	 0.323502 	 0.724534 
 678 	 0.286884 	 0.733857 
 679 	 0.250814 	 0.743908 
 680 	 0.214664 	 0.755408 
 681 	 0.299081 	 0.791770 
 682 	 0.240566 	 0.812088 
 683 	 0.034358 	 0.788969 
 684 	 2.906288 	 0.791951 
 685 	 2.982890 	 0.795484 
 686 	 3.722635 	 0.128619 
 687 	 3.967048 	 0.173724 
 688 	 3.079370 	 0.828138 
 689 	 3.062859 	 0.931517 
 690 	 2.985131 	 0.931503 
 691 	 0.895388 	 0.067266 
 692 	 0.568962 	 0.030698 
 693 	 0.591634 	 0.061145 
 694 	 0.613622 	 0.091253 
 695 	 0.634858 	 0.120635 
 696 	 0.655888 	 0.148817 
 697 	 0.677616 	 0.175972 
 698 	 0.700125 	 0.202814 
 699 	 0.722826 	 0.229498 
 700 	 0.645635 	 0.030618 
 701 	 0.069933 	 0.770537 
 702 	 1.149484 	 0.035164 
 703 	 1.169654 	 0.070154 
 704 	 2.945004 	 0.728861 
 705 	 3.715709 	 0.166789 
 706 	 3.747873 	 0.187756 
 707 	 3.778660 	 0.206958 
 708 	 3.808131 	 0.225800 
 709 	 3.838330 	 0.244707 
 710 	 3.869503 	 0.264173 
 711 	 3.901436 	 0.284213 
 712 	 3.933920 	 0.304686 
 713 	 3.966803 	 0.325398 
 714 	 3.179971 	 0.861107 
 715 	 3.140799 	 0.931406 
 716 	 2.906879 	 0.931306 
 717 	 0.876207 	 0.101242 
 718 	 0.810474 	 0.245662 
 719 	 0.267987 	 0.795194 
 720 	 0.742637 	 0.065230 
 721 	 0.228258 	 0.972425 
 722 	 0.163610 	 0.931307 
 723 	 0.195168 	 0.952500 
 724 	 2.418641 	 0.442376 
 725 	 2.402204 	 0.474362 
 726 	 2.384291 	 0.507145 
 727 	 2.364724 	 0.540176 
 728 	 2.343303 	 0.572072 
 729 	 2.322055 	 0.595906 
 730 	 2.313654 	 0.626270 
 731 	 2.298499 	 0.662222 
 732 	 2.281489 	 0.698698 
 733 	 2.264383 	 0.735712 
 734 	 2.250871 	 0.771854 
 735 	 2.238017 	 0.804587 
 736 	 2.221574 	 0.835608 
 737 	 2.203785 	 0.867483 
 738 	 2.185480 	 0.900061 
 739 	 2.166889 	 0.933113 
 740 	 2.148018 	 0.966461 
 741 	 2.833799 	 0.713822 
 742 	 3.019145 	 0.730642 
 743 	 3.708684 	 0.208037 
 744 	 3.967079 	 0.287226 
 745 	 3.158828 	 0.824438 
 746 	 3.120552 	 0.896763 
 747 	 3.083108 	 0.965761 
 748 	 1.014666 	 0.171056 
 749 	 0.965943 	 0.234206 
 750 	 0.780806 	 0.065556 
 751 	 0.763175 	 0.097065 
 752 	 0.159945 	 0.968409 
 753 	 0.131722 	 0.949190 
 754 	 1.165998 	 0.285693 
 755 	 2.186575 	 0.966551 
