
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 266 	 1.172908 	 2.252830 	 10.160000 
 267 	 0.894890 	 2.377133 	 10.160000 
 268 	 0.603570 	 2.465883 	 10.160000 
 269 	 0.000000 	 2.540000 	 25.400001 
 270 	 -0.227467 	 2.529167 	 25.400001 
 271 	 -0.453141 	 2.498697 	 25.400001 
 272 	 -0.675261 	 2.448486 	 25.400001 
 273 	 -0.891883 	 2.378253 	 25.400001 
 274 	 -1.101253 	 2.288682 	 25.400001 
 275 	 -1.301836 	 2.180867 	 25.400001 
 276 	 -1.491963 	 2.055528 	 25.400001 
 277 	 -1.669976 	 1.913509 	 25.400001 
 278 	 -1.834693 	 1.756263 	 25.400001 
 279 	 -1.984741 	 1.584963 	 25.400001 
 280 	 -2.118611 	 1.400741 	 25.400001 
 281 	 -2.235543 	 1.205334 	 25.400001 
 282 	 -2.334656 	 1.000308 	 25.400001 
 283 	 -2.414750 	 0.787136 	 25.400001 
 284 	 -2.475499 	 0.567665 	 25.400001 
 285 	 -2.516563 	 0.343672 	 25.400001 
 286 	 -2.537158 	 0.116883 	 25.400001 
 287 	 -2.537338 	 -0.110841 	 25.400001 
 288 	 -2.517356 	 -0.337685 	 25.400001 
 289 	 -2.476980 	 -0.561802 	 25.400001 
 290 	 -2.416592 	 -0.781373 	 25.400001 
 291 	 -2.336993 	 -0.994733 	 25.400001 
 292 	 -2.238558 	 -1.200081 	 25.400001 
 293 	 -2.121959 	 -1.395689 	 25.400001 
 294 	 -1.988472 	 -1.580190 	 25.400001 
 295 	 -1.839036 	 -1.752021 	 25.400001 
 296 	 -1.674630 	 -1.909595 	 25.400001 
 297 	 -1.496860 	 -2.051916 	 25.400001 
 298 	 -1.307127 	 -2.177849 	 25.400001 
 299 	 -1.106744 	 -2.286038 	 25.400001 
 300 	 -0.897519 	 -2.375946 	 25.400001 
 301 	 -0.681142 	 -2.446934 	 25.400001 
 302 	 -0.459217 	 -2.497991 	 25.400001 
 303 	 -0.233614 	 -2.529007 	 25.400001 
 304 	 -0.006152 	 -2.539919 	 25.400001 
 305 	 0.221364 	 -2.530193 	 25.400001 
 306 	 0.447088 	 -2.500089 	 25.400001 
 307 	 0.669262 	 -2.450117 	 25.400001 
 308 	 0.886026 	 -2.380323 	 25.400001 
 309 	 1.095619 	 -2.291276 	 25.400001 
 310 	 1.296495 	 -2.184006 	 25.400001 
 311 	 1.486941 	 -2.059155 	 25.400001 
 312 	 1.665310 	 -1.917583 	 25.400001 
 313 	 1.830415 	 -1.760743 	 25.400001 
 314 	 1.980862 	 -1.589794 	 25.400001 
 315 	 2.115180 	 -1.405900 	 25.400001 
 316 	 2.232614 	 -1.210793 	 25.400001 
 317 	 2.332241 	 -1.006018 	 25.400001 
 318 	 2.412858 	 -0.793041 	 25.400001 
 319 	 2.474158 	 -0.573723 	 25.400001 
 320 	 2.515779 	 -0.349834 	 25.400001 
 321 	 2.536860 	 -0.123088 	 25.400001 
 322 	 2.537574 	 0.104633 	 25.400001 
 323 	 2.518270 	 0.331536 	 25.400001 
 324 	 2.458832 	 0.630222 	 25.400001 
 325 	 2.366005 	 0.920267 	 25.400001 
 326 	 2.239990 	 1.197513 	 25.400001 
 327 	 2.080463 	 1.456929 	 25.400001 
 328 	 1.890898 	 1.695277 	 25.400001 
 329 	 1.674670 	 1.909732 	 25.400001 
 330 	 1.433863 	 2.096163 	 25.400001 
 331 	 1.172520 	 2.252508 	 25.400001 
 332 	 0.894682 	 2.377214 	 25.400001 
 333 	 0.603636 	 2.466861 	 25.400001 
 334 	 0.000000 	 7.620000 	 25.400001 
 335 	 -0.682447 	 7.588570 	 25.400001 
 336 	 -1.359492 	 7.497273 	 25.400001 
 337 	 -2.025653 	 7.345777 	 25.400001 
 338 	 -2.675273 	 7.134316 	 25.400001 
 339 	 -3.303593 	 6.866105 	 25.400001 
 340 	 -3.905489 	 6.542926 	 25.400001 
 341 	 -4.475548 	 6.166422 	 25.400001 
 342 	 -5.009883 	 5.740735 	 25.400001 
 343 	 -5.504249 	 5.269220 	 25.400001 
 344 	 -5.953795 	 4.754796 	 25.400001 
 345 	 -6.355636 	 4.202308 	 25.400001 
 346 	 -6.706873 	 3.616340 	 25.400001 
 347 	 -7.003641 	 3.000995 	 25.400001 
 348 	 -7.244039 	 2.361517 	 25.400001 
 349 	 -7.426828 	 1.703253 	 25.400001 
 350 	 -7.549533 	 1.031192 	 25.400001 
 351 	 -7.611173 	 0.350807 	 25.400001 
 352 	 -7.612325 	 -0.332362 	 25.400001 
 353 	 -7.552154 	 -1.012878 	 25.400001 
 354 	 -7.430633 	 -1.685155 	 25.400001 
 355 	 -7.250039 	 -2.344024 	 25.400001 
 356 	 -7.011276 	 -2.984114 	 25.400001 
 357 	 -6.715409 	 -3.599894 	 25.400001 
 358 	 -6.366063 	 -4.186989 	 25.400001 
 359 	 -5.965813 	 -4.740633 	 25.400001 
 360 	 -5.516949 	 -5.255651 	 25.400001 
 361 	 -5.024021 	 -5.728668 	 25.400001 
 362 	 -4.490971 	 -6.155964 	 25.400001 
 363 	 -3.921366 	 -6.533154 	 25.400001 
 364 	 -3.320334 	 -6.857936 	 25.400001 
 365 	 -2.692872 	 -7.128146 	 25.400001 
 366 	 -2.043547 	 -7.340518 	 25.400001 
 367 	 -1.377775 	 -7.493719 	 25.400001 
 368 	 -0.701053 	 -7.587354 	 25.400001 
 369 	 -0.018646 	 -7.619690 	 25.400001 
 370 	 0.663893 	 -7.590298 	 25.400001 
